,Ticker,enterpriseToRevenue,profitMargins,enterpriseToEbitda,52WeekChange,forwardEps,sharesOutstanding,bookValue,sharesShort,sharesPercentSharesOut,lastFiscalYearEnd,heldPercentInstitutions,netIncomeToCommon,trailingEps,SandP52WeekChange,priceToBook,heldPercentInsiders,nextFiscalYearEnd,mostRecentQuarter,shortRatio,sharesShortPreviousMonthDate,floatShares,beta,enterpriseValue,priceHint,lastSplitDate,lastSplitFactor,earningsQuarterlyGrowth,dateShortInterest,pegRatio,forwardPE,maxAge,shortPercentOfFloat,sharesShortPriorMonth,eps,Market Cap,PE,NI,EBIT
463,VFC,2.591,0.09097,16.229,0.07984662,4.26,397158016,10.832,5853378,0.0147,1553904000,0.86197996,1259004032,3.142,0.032832503,7.91082,0.0067,1617062400,1553904000,2.91,2019/4/15,394508483,1.492804,35885387776,2,2019/5/23,1000/1062,-0.49,1557878400,1.79,20.115023,1,,5004912,3.141999762,34032472064,27.27244,1259792000,1910161000
464,VIAB,1.611,0.12630999,6.789,0.035360694,4.35,353644000,19.777,20617841,0.0512,1538265600,0.96088,1578000000,4.002,0.032832503,1.4698892,0.00279,1601424000,1553990400,5.15,2019/4/15,362775590,1.126771,20577036288,2,-,,0.414,1557878400,1.78,6.682759,1,0.0584,22090467,4.001999871,11945095168,7.2638683,1719000000,2795000000
465,VLO,0.368,0.02555,6.464,-0.38019407,11.18,417240992,51.073,5980720,0.0143,1546214400,0.8153,2784999936,6.582,0.032832503,1.4853249,0.00337,1609372800,1553990400,1.51,2019/4/15,415835347,1.515591,40249454592,2,2013/5/2,1000/1094,-0.699,1557878400,2.04,6.785331,1,0.014400001,6218657,6.581999844,31651901440,11.5253725,3122000000,4593000000
466,VMC,4.666,0.11627,18.512,0.031629086,5.75,132092000,39.504,5267064,0.0399,1546214400,0.98779,528380992,3.938,0.032832503,3.431551,0.0023,1609372800,1553990400,4.77,2019/4/15,131701126,0.8589,21113495552,2,1999/3/11,1月3日,0.195,1557878400,1.41,23.575651,1,0.0448,5248369,3.93800003,17906391040,34.423565,515805000,776908000
467,VNO,11.481,0.28962,24.767,-0.05930102,1.4,190762000,18.624,2361803,0.0124,1546214400,0.90139997,583244992,3.049,0.032832503,3.6189861,0.095,1609372800,1553990400,1.93,2019/4/15,176416233,1.055978,25144133632,2,2017/7/18,1000/1237,19.044,1557878400,2.16,48.14286,1,0.0161,2273089,3.049000055,13719337984,22.105608,449954000,605512000
468,VRSK,10.941,0.24605,24.862,0.3445015,4.9,163666000,13.263,2135490,0.012999999,1546214400,0.94568,600099968,3.581,0.032832503,11.073664,0.058119997,1609372800,1553990400,3.1,2019/4/15,161945526,0.815175,26683908096,2,-,,0.011,1557878400,3.37,29.973467,1,0.0147,2870647,3.581000291,24037623808,41.01368,598700000,835600000
469,VRSN,19.458,0.49976003,28.647,0.50174046,5.57,119183000,-11.778,1213495,0.010199999,1546214400,0.96502,610753024,5.009,0.032832503,,0.01122,1609372800,1553990400,2.11,2019/4/15,97449082,0.89301,23779172352,2,1999/12/7,1月2日,0.211,1557878400,4.67,37.183125,1,0.0116,1263932,5.008999802,24683991040,41.347576,582489000,767392000
470,VRTX,12.749,0.66006,46.504,0.16739547,6.08,256120992,18.425,3956622,0.0154,1546214400,0.96955,2154862080,8.298,0.032832503,9.380733,0.00257,1609372800,1553990400,3.15,2019/4/15,255875483,1.21929,41628692480,2,2000/8/24,1月2日,0.278,1557878400,0.87,28.427631,1,0.0172,3705637,8.298000179,44267950080,20.829115,2096896000,663966000
471,VTR,9.22,0.12292,18.905,0.17683482,1.33,369412000,28.32,4306283,0.012,1546214400,0.91091,456548992,1.27,0.032832503,2.2687147,0.00372,1609372800,1553990400,2.33,2019/4/15,357317373,0.2113,34243538944,2,2015/8/18,10000/8757,0.598,1557878400,6.97,48.30827,1,0.0168,4788898,1.269999954,23926636544,50.590553,409467000,938665000
472,VZ,2.837,0.12205,7.051,0.16105485,4.85,4135709952,13.506,27405755,0.0066,1546214400,0.68112,16014999552,3.871,0.032832503,4.1574116,0.00031,1609372800,1553990400,2.06,2019/4/15,4134341863,0.474218,3.72E+11,2,2010/7/2,937889/1000000,0.107,1557878400,4.75,11.57732,1,0.0066,28056519,3.870999944,2.32E+11,14.505296,15528000000,35205000000
473,WAB,2.999,0.04124,19.031,-0.344586,4.85,184818000,59.501,14761379,0.0907,1546214400,0.80913,201528000,1.955,0.032832503,1.143174,0.06669,1609372800,1553990400,4.98,2019/4/15,136701657,1.380827,14698886144,2,2013/6/12,1月2日,,1557878400,1.19,14.024742,1,0.111,12888769,1.955000218,12571319296,34.792835,294944000,559684000
474,WAT,6.067,0.24586001,17.567,0.010210037,10.19,69475200,13.798,3451077,0.0497,1546214400,0.98523,590828992,7.804,0.032832503,15.254384,0.04853,1609372800,1553904000,4.43,2019/4/15,66107780,1.104288,14580343808,2,2000/8/28,1月2日,-0.026,1557878400,2.03,20.655544,1,0.0551,3136744,7.804000351,14623139840,26.970783,593794000,739348000
475,WBA,0.481,0.037720002,8.521,-0.18872929,6.02,914299008,27.095,23086908,0.0253,1535673600,0.66440004,5133000192,5.327,0.032832503,1.9298764,0.16143,1598832000,1551312000,3.67,2019/4/15,764993955,0.647116,65398116352,2,1999/2/16,1月2日,-0.143,1557878400,1.71,8.686047,1,0.029000001,26876452,5.327000292,47808696320,9.816031,5024000000,6363000000
476,WCG,0.536,0.02173,12.13,0.2153002,16.49,50303400,87.296,2646525,0.052600004,1546214400,1.03331,489500000,10.043,0.032832503,3.3324552,0.00726,1609372800,1553990400,2.05,2019/4/15,49930156,1.318818,12085197824,2,-,,0.489,1557878400,0.97,17.641602,1,0.070199996,2303105,10.0430001,14633761792,28.966444,439800000,819800000
477,WDC,0.981,0.01102,5.182,-0.55493975,3.93,292998016,34.86,16266637,0.0555,1530230400,0.86148,199000000,0.658,0.032832503,1.0895008,0.00338,1593388800,1553817600,2.54,2019/4/15,291608895,1.954891,17711335424,2,1997/6/4,1月2日,,1557878400,-0.66,9.664122,1,0.063,14634394,0.658000008,11128065024,57.720364,675000000,3841000000
478,WEC,4.91,0.14017999,16.189,0.41569972,3.73,315438016,31.653,9601255,0.0304,1546214400,0.77254,1089299968,3.44,0.032832503,2.6139703,0.00219,1609372800,1553990400,6.49,2019/4/15,314763360,0.211759,38155169792,2,2011/3/2,1月2日,0.077,1557878400,3.9,22.182304,1,0.0344,9088495,3.440000226,26099341312,24.052324,1059300000,1494400000
479,WELL,9.984,0.13227999,22.371,0.42761588,1.93,404940992,37.347,6845510,0.016900001,1546214400,0.86575997,601049024,1.579,0.032832503,2.2057996,0.00229,1609372800,1553990400,4.7,2019/4/15,404329190,0.268389,48012103680,2,1985/9/4,2月3日,-0.376,1557878400,2.5,42.683937,1,0.022,5657487,1.579000028,33359038464,52.17226,804954000,1134826000
480,WFC,2.792,0.27613002,,-0.1779859,5.16,4494340096,39.034,27764811,0.0062,1546214400,0,21462999040,4.52,0.032832503,1.1853769,0.77803004,1609372800,1553990400,1.35,2019/4/15,4054032110,1.229986,2.34E+11,2,2006/8/14,1月2日,0.141,1557878400,0.97,8.967054,1,0.0061,21047546,4.519999852,2.08E+11,10.236726,22393000000,0
481,WHR,0.739,0.00929,8.189,-0.14560652,16.26,63339300,44.476,4404780,0.0695,1546214400,0.95898,194000000,2.965,0.032832503,2.928321,0.01011,1609372800,1553990400,4.69,2019/4/15,62695102,1.837435,15436296192,2,1987/1/2,1月2日,4.011,1557878400,1.82,8.00984,1,0.0929,4125223,2.964999798,8249310720,43.925804,-183000000,1261000000
482,WLTW,3.418,0.08989,15.389,0.18646443,11.84,129236000,78.105,895625,0.0069,1546214400,0.95047,767000000,5.848,0.032832503,2.410985,0.00536,1609372800,1553990400,1.63,2019/4/15,128666246,0.60718,29161656320,2,2016/1/5,2月1日,0.335,1557878400,1.5,15.90456,1,0.0091,884566,5.848000072,24336431104,32.200752,695000000,1291000000
483,WM,4.15,0.12425,14.755,0.3685975,4.71,424681984,15.104,3633289,0.0086,1546214400,0.81452006,1876000000,4.355,0.032832503,7.535752,0.00342,1609372800,1553990400,2.43,2019/4/15,423676302,0.595925,62666489856,2,-,,-0.124,1557878400,2.88,24.165606,1,0.0086,3470183,4.354999911,48337301504,26.135477,1925000000,2735000000
484,WMB,6.756,-0.012940001,15.687,0.03775704,1.11,1211769984,11.867,23959353,0.0198,1546214400,0.91822,-114000000,-0.107,0.032832503,2.3156652,0.00127,1609372800,1553990400,4.09,2019/4/15,1210146452,1.459495,58450743296,2,2012/1/3,8152/10000,0.283,1557878400,2.86,24.756756,1,0.0223,27320889,,33299439616,,-155000000,1932000000
485,WMT,0.731,0.01625,11.562,0.25812566,5,2854720000,23.773,15958196,0.0056,1548892800,0.3032,8377999872,2.858,0.032832503,4.5227776,0.52023,1612051200,1556582400,2.85,2019/4/15,1407732230,0.62238,3.77E+11,2,1999/4/20,1月2日,0.8,1557878400,6.02,21.504,1,0.0116,16319351,2.858000136,3.07E+11,37.620712,6670000000,22117000000
